Number,entry,meaning
1,abandon,捨て去る
2,ability,能力
3,aboard,船に乗って
4,abolish,を廃止する
5,absent,欠席の
6,absolute,絶対的な，完全な
7,absolutely,絶対に
8,absorb,吸収する，を没頭させる
9,abstract,抽象的な
10,absurd,ばかげた，不合理な
11,abundant,豊富な
12,academy,学会、協会
13,accelerate,加速する
14,accept,を受け入れる
15,accepted,受け入れられた
16,accessible,行きやすい
17,accession,接近，加盟
18,accidentally,偶然に、うっかりと
19,acclaimed,絶賛されている、評価された
20,accommodate,収容する
21,accommodation,宿泊施設
22,accompany,に付き添う
23,accomplish,成し遂げる
24,accomplishment,成就，達成
25,according,to によると
26,account,説明、口座/説明する、占める
27,accountant,会計士
28,accounting,会計
29,accurate,正確な
30,accurately,正確に
31,accuse,非難，告発する
32,achieve,を達成する
33,achievement,達成
34,acid,酸
35,acknowledge,認める
36,acknowledged,認めた
37,acquaint,知らせる
38,acquaintance,知り合い
39,acquisition,取得
40,activate,作動させる
41,actually,実際に，現実に
42,Ad,広告
43,adapt,適応する、適応させる、改作する
44,addendum,追加，付録
45,additional,追加の
46,address,住所/言う
47,adequate,十分な
48,adequately,適切に
49,adjacent,隣接している
50,adjust,を調節する，順応する
51,adjustment,調整
52,administer,管理する
53,administration,機関
54,administrator,管理者
55,admiration,感心，称賛
56,admire,賞賛する
57,admission,入場
58,admit,を認める
59,adopt,を自分のものにする
60,advance,前進する/前進，事前
61,advantage,有利、利点
62,adverse,良くない、不利な、逆の
63,adversely,反対に、不都合に
64,advertise,を宣伝［広告］する
65,advertising,広告
66,advise,アドバイスする
67,advocate,提唱する
68,aesthetic,美的な
69,affair,事柄，出来事
70,affect,に影響を与える
71,affected,影響を受けた
72,affection,愛情，好意
73,affiliate,連携させる
74,affix,添付する，固定する
75,afford,の余裕がある
76,affordable,入手できる，お金の足りる
77,afterwards,その後
78,age,年齢、時代
79,agenda,議題
80,agent,代理人，代理店
81,agony,激しい苦痛
82,agree,同意する、賛成する
83,agreeable,快適な、心地良い
84,agreement,同意，一致
85,agriculture,農業
86,aid,援助/…を助ける
87,aim,ねらいをつける/目的
88,allegation,申し立て
89,allege,主張する
90,alleged,容疑のある
91,allocate,割り当てる
92,allow,を許可する、を許す
93,allowable,許される、許容できる/許容量
94,allowance,手当
95,allowed,許した
96,along,に沿って
97,alongside,と一緒に
98,aloud,声に出して
99,already,すでに
100,alter,を変える
101,alternate,代わりの
102,alternative,代替となるもの/代替の
103,alternatively,代わりに，あるいは
104,although,であるけれど
105,altogether,完全に
106,amateur,素人
107,ambassador,大使
108,amber,琥珀
109,ambition,夢，大望
110,ambitious,意欲的な、野心的な
111,amendment,修正
112,amenity,娯楽、生活を便利にするもの
113,amid,真ん中に
114,among,～の中で
115,amount,量、額
116,ample,十分な、あり余るほどの
117,analysis,分析
118,ancestor,祖先
119,anniversary,～周年
120,announce,発表する
121,announced,告知した
122,announcement,発表，告知
123,annual,毎年の
124,Annually,毎年の
125,anonymous,匿名の
126,anticipate,期待する
127,anticipated,期待した
128,antitrust,独占禁止法
129,anxiety,心配，不安
130,anyway,ともかく
131,apart,離れて
132,apologize,謝罪する
133,apology,謝罪
134,apparatus,器具，装置
135,apparent,外見上の，明らかな
